E1,E2,E3
11.422078,0.0,0.0
55.836666,0.0,0.0
1.2364173,0.49354807,0.0
1.5551945,1.0267413,0.0
0.0,0.0,101.88146
0.0,0.0,1162.6766
64.453094,0.0,0.0
0.0,0.0,24.178322
102.550125,0.0,0.0
547.0023,56.387844,0.0
7.2695184,0.0,0.0
55.36577,0.0,0.0
0.0,0.0,168.84837
392.39606,25.183361,0.0
0.0,0.0,305.56223
0.65535474,0.0,0.0
0.0,0.0,44.72649
10.923334,0.0,0.0
2.6546817,1.549706,0.0
0.0,0.0,199.37946
0.0,0.0,1.5475078
0.0,0.0,139.5414
0.0,0.0,2.9304852
78.91276,0.0,0.0
0.0,0.0,197.50352
2162.5454,534.9152,0.0
0.6488904,0.0,0.0
273.37903,2.6552756,0.0
4642.15,1474.5887,0.0
0.0,0.0,251.39345
0.6486174,0.0,0.0
1.1592366,1.6143967,0.0
0.0,0.0,32.291927
807.21387,118.166,0.0
1.8086276,1.167036,0.0
1120.2607,196.27037,0.0
0.0,0.0,0.0
86.86212,0.0,0.0
0.8353048,0.0,0.0
1.0155038,0.12746151,0.0
47.202747,0.0,0.0
203.64046,0.0,0.0
0.0,0.0,22.0322
0.0,0.0,20.70736
0.0,0.0,4.1880407
2.3828068,1.4609882,0.0
0.0,0.0,145.64227
1.1658226,1.2199442,0.0
838.1384,125.72907,0.0
0.0,0.0,121.85918
1.183872,1.0176744,0.0
2480.4043,646.8911,0.0
0.0,0.0,0.81947994
0.0,0.0,28.701149
58.992283,0.0,0.0
8.194841,0.0,0.0
449.04614,36.138996,0.0
0.0,0.0,219.03049
15.111872,0.0,0.0
22.065754,0.0,0.0
3.206637,0.4101216,0.0
0.0,0.0,8.849265
41.41816,0.0,0.0
970.7331,157.74194,0.0
19.12244,0.0,0.0
32.42979,0.0,0.0
94.23895,0.0,0.0
1.2299173,0.9591546,0.0
0.0,0.0,5.8813524
72.306854,0.0,0.0
1612.2722,350.93167,0.0
256.32056,0.24669932,0.0
1.2078986,1.1044656,0.0
936.8492,149.30283,0.0
528.5527,52.82842,0.0
996.2373,164.10567,0.0
0.0,0.0,391.92334
45.675278,0.0,0.0
2674.575,716.369,0.0
2407.2827,621.0453,0.0
4.3281293,0.0,0.0
0.0,0.0,1.1122634
0.0,0.0,18.860401
4.7642584,0.0,0.0
3.0714586,1.3340269,0.0
119.807915,0.0,0.0
1.6635946,1.0968196,0.0
0.0,0.0,5.1804085
1.1221482,1.3032011,0.0
1.5887069,1.3529997,0.0
0.62551475,0.0,0.38075173
0.0,0.0,155.70499
1.5399895,1.0259964,0.0
0.0,0.0,0.31095266
1.3399569,0.8594,0.0
0.0,0.0,48.354282
208.09953,0.0,0.0
93.70656,0.0,0.0
0.0,0.0,903.33246
585.1505,64.87774,0.0
20.826097,0.0,0.0
118.6602,0.0,0.0
215.57254,0.0,0.0
322.35013,11.718731,0.0
0.0,0.0,81.13785
1694.1663,377.3013,0.0
0.0,0.0,7.612169
1.0991924,0.9548889,0.0
373.4484,21.291298,0.0
0.0,0.0,268.96005
1436.7578,295.12265,0.0
0.0,0.0,2.4657395
0.60489416,0.0,0.7500472
5802.505,1945.1909,0.0
0.0,0.0,215.53459
0.0,0.0,339.4925
96.30875,0.0,0.0
0.0,0.0,47.60677
0.0,0.0,35.946865
1.6260985,1.1009943,0.0
68.82266,0.0,0.0
1.1949545,1.2756133,0.0
190.69748,0.0,0.0
0.0,0.0,134.5055
1324.236,259.49908,0.0
0.0,0.0,343.89825
26.35275,0.0,0.0
2468.7593,642.73553,0.0
0.7659354,0.0,1.0393717
604.5656,69.23536,0.0
0.0,0.0,54.316513
0.0,0.0,130.6967
0.0,0.0,364.24072
0.6742041,0.0,0.8380141
2025.895,487.67346,0.0
75.24188,0.0,0.0
294.68546,6.315341,0.0
9960.026,3685.0354,0.0
47.02408,0.0,0.0
1.1103134,1.391242,0.0
47.861984,0.0,0.0
610.0891,70.58485,0.0
11.0036955,0.0,0.0
76.28041,0.0,0.0
1.0660549,1.4634566,0.0
2.9464273,1.621409,0.0
1576.9207,339.67334,0.0
0.73141026,0.0,0.0
70.73342,0.0,0.0
2.2403023,1.392999,0.0
40.605396,0.0,0.0
0.0,0.0,26.6021
39.346863,0.0,0.0
6.491769,0.0,0.0
536.1813,54.332977,0.0
1.1771736,1.3965362,0.0
690.85345,89.81417,0.0
1449.5175,299.1514,0.0
103.376045,0.0,0.0
28.429684,0.0,0.0
57.31497,0.0,0.0
448.36093,35.849503,0.0
2.822948,1.5897034,0.0
993.36633,163.02594,0.0
780.7845,111.89483,0.0
26.812826,0.0,0.0
1.1433665,0.3661827,0.0
1184.7477,215.93463,0.0
0.0,0.0,32.13108
0.0,0.0,0.0
0.0,0.0,69.81347
0.7037214,0.0,0.96439195
828.44617,123.502144,0.0
175.19347,0.0,0.0
40.41472,0.0,0.0
144.29785,0.0,0.0
1172.3368,212.13152,0.0
1.1238803,0.23816667,0.0
142.43011,0.0,0.0
162.53616,0.0,0.0
1.8741019,1.2196748,0.0
0.0,0.0,16.521427
0.0,0.0,152.53629
0.0,0.0,132.30441
0.6363337,0.0,0.17615378
291.58215,5.8352184,0.0
127.14984,0.0,0.0
2190.455,544.64764,0.0
1.1622138,1.0923196,0.0
478.18164,41.83937,0.0
0.0,0.0,33.03609
499.55362,46.29898,0.0
19.7086,0.0,0.0
938.0859,149.62875,0.0
15.06049,0.0,0.0
0.0,0.0,928.52576
475.03348,41.31939,0.0
381.78827,23.01793,0.0
0.0,0.0,262.4195
0.0,0.0,40.14339
249.71388,0.0,0.0
183.37479,0.0,0.0
2323.1191,591.1831,0.0
1154.6888,206.73624,0.0
8.8463335,0.0,0.0
0.0,0.0,223.23288
1.5700259,1.0372834,0.0
2.8415477,1.1975296,0.0
14.077952,0.0,0.0
1727.3173,388.0882,0.0
0.0,0.0,31.506512
533.7829,53.364388,0.0
3934.3162,1194.3235,0.0
0.0,0.0,3.8272872
0.0,0.0,0.712363
459.14838,38.40079,0.0
922.3779,146.05838,0.0
1.1172885,1.1266376,0.0
27.164309,0.0,0.0
0.0,0.0,105.324554
349.79584,16.729395,0.0
0.0,0.0,1.0260239
15.808983,0.0,0.0
1.1635791,1.215186,0.0
449.75272,36.796738,0.0
0.69743216,0.0,0.0
0.0,0.0,31.165813
5.145658,0.0,0.0
779.7397,111.777756,0.0
1.9662031,1.2609812,0.0
2686.378,720.67523,0.0
264.56833,1.3095838,0.0
1.1773937,1.3613336,0.0
4.2529864,0.0,0.0
149.75476,0.0,0.0
1015.5344,168.26239,0.0
4250.983,1318.7275,0.0
922.73846,145.92213,0.0
503.17758,47.09929,0.0
384.72437,23.581789,0.0
943.17126,150.94957,0.0
0.0,0.0,108.296616
617.3657,72.39621,0.0
5.2796907,0.0,0.0
932.4599,148.32129,0.0
1773.3933,403.15585,0.0
108.8102,0.0,0.0
0.0,0.0,88.42544
0.0,0.0,19.039902
0.0,0.0,94.08133
1112.0537,193.75552,0.0
11.218488,0.0,0.0
0.0,0.0,363.2626
0.37556782,0.0,0.54315925
0.0,0.0,223.09741
41.834713,0.0,0.0
1658.0463,365.6152,0.0
10967.607,4118.546,0.0
292.52594,5.843566,0.0
0.0,0.0,10.108915
0.0,0.0,50.73444
0.0,0.0,84.97816
665.6628,83.75299,0.0
35.129444,0.0,0.0
1.237014,1.1927631,0.0
1.1389302,0.3708168,0.0
0.0,0.0,31.441322
0.0,0.0,99.77657
1.3945696,0.94603187,0.0
74.667114,0.0,0.0
0.0,0.0,37.242508
0.0,0.0,0.6762512
537.89465,54.43989,0.0
0.0,0.0,0.46663928
136.89194,0.0,0.0
0.0,0.0,814.3949
0.0,0.0,345.91953
0.6795838,0.0,0.0
760.2947,106.711205,0.0
1.1303989,1.3281507,0.0
855.39056,129.95357,0.0
277.57773,3.3069408,0.0
794.95703,115.78434,0.0
5265.507,1727.0317,0.0
434.06506,33.086903,0.0
1.0243363,0.8212996,0.0
36.843075,0.0,0.0
108.081566,0.0,0.0
44.681988,0.0,0.0
551.9146,57.720924,0.0
55.167248,0.0,0.0
411.45657,28.908072,0.0
1.7110574,1.1149018,0.0
297.41162,6.919296,0.0
0.7368463,0.0,1.2463193
19.659063,0.0,0.0
2.7229648,1.568236,0.0
351.12228,16.994144,0.0
81.541,0.0,0.0
5.4313903,0.0,0.0
701.9565,92.24871,0.0
341.63937,15.6858635,0.0
0.0,0.0,19.240154
1.665895,1.1133372,0.0
82.51065,0.0,0.0
3694.6838,1101.0642,0.0
1101.0619,190.38577,0.0
1.1240759,0.30093348,0.0
0.0,0.0,34.159954
1332.4513,262.0591,0.0
23.09961,0.0,0.0
0.0,0.0,56.637764
0.0,0.0,10.077861
547.9036,56.781765,0.0
427.023,31.893587,0.0
2.5547442,1.5230944,0.0
0.0,0.0,32.237617
0.0,0.0,5.904007
1.1520938,0.3358151,0.0
0.0,0.0,124.92124
1.3740249,1.2895908,0.0
0.0,0.0,24.5085
2.0075247,1.2799416,0.0
0.0,0.0,80.178444
191.18332,0.0,0.0
1.0855432,0.72126454,0.0
445.2674,35.20779,0.0
100.50314,0.0,0.0
6.0497293,0.0,0.0
0.0,0.0,44.056946
71.14022,0.0,0.0
0.0,0.0,82.09199
0.0,0.0,44.659893
1.1175503,1.2806125,0.0
0.0,0.0,267.1534
6939.7915,2413.154,0.0
1.2094198,1.3208025,0.0
0.0,0.0,529.8853
1280.6271,245.82928,0.0
192.60101,0.0,0.0
157.3006,0.0,0.0
62.427055,0.0,0.0
0.0,0.0,130.38686
305.0544,8.121161,0.0
0.10407272,0.0,0.5162661
0.0,0.0,46.671284
0.84676206,0.0,0.0
1.5425669,1.0801853,0.0
137.15639,0.0,0.0
1997.5608,478.03043,0.0
650.6557,80.268906,0.0
0.0,0.0,21.823757
29.305342,0.0,0.0
202.0542,0.0,0.0
0.0,0.0,438.30377
0.0,0.0,1328.7308
0.0,0.0,642.5422
1.8985748,1.2262521,0.0
1.1581327,1.0816268,0.0
4.220325,0.0,0.0
210.77551,0.0,0.0
0.0,0.0,11.898861
1.1613787,1.2928904,0.0
0.0,0.0,83.156845
0.0,0.0,49.33334
13.584309,0.0,0.0
3.613589,0.4897537,0.0
195.0105,0.0,0.0
889.77,138.18105,0.0
1.0985627,1.315931,0.0
48.406284,0.0,0.0
0.0,0.0,8.244754
0.0,0.0,10.007991
1.0022035,0.10863687,0.0
0.0,0.0,132.82346
0.0,0.0,175.34517
0.0,0.0,19.454388
0.0,0.0,26.508629
0.0,0.0,35.560448
1.189028,0.47095993,0.0
5.1514874,0.0,0.0
2.7878451,1.4218131,0.0
290.09506,5.6954584,0.0
1.1993355,0.7784429,0.0
0.6587534,0.0,0.0
23.879843,0.0,0.0
2961.1375,821.1773,0.0
646.1847,79.14283,0.0
40.324863,0.0,0.0
0.0,0.0,4.2750034
18.03951,0.0,0.0
0.94133073,0.030668572,0.0
0.0,0.0,1.9326315
0.0,0.0,26.222397
220.61693,0.0,0.0
3097.8477,872.1822,0.0
2.760746,1.576287,0.0
0.0,0.0,137.23456
520.96576,50.733097,0.0
255.63426,0.0,0.0
0.46910706,0.0,0.90355206
0.0,0.0,71.630325
0.6562135,0.0,0.0
21.792091,0.0,0.0
